layout,raw_bytes,gzip_bytes,raw_mib,gzip_mib,file_count
row_unsorted,303168417,37183885,289.12393283843994,35.46131610870361,4
row_sorted,303168459,36603364,289.12397289276123,34.90768814086914,4
column_unsorted,303168378,32270050,289.1238956451416,30.775117874145508,11
column_sorted,303168420,31792308,289.1239356994629,30.319507598876953,11
